0,0,0,0,0,0,1,2,7,14,14,18,21,36,41,67,88,95,120,152,226,265,357,423,462,503,566,634,717,778
0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,4,4,5,7,11,17,80,105,105,108,188,226,343,456,640
0,0,0,0,0,0,3,3,11,11,11,12,13,13,15,19,19,21,39,42,48,56,75,78,87,96,102,118,123,130
0,0,0,0,0,0,4,4,4,4,4,4,4,5,8,11,12,14,17,19,30,43,73,96,194,242,279,301,373,466
0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,4,4,5,5,5,5,6,10,12,16,24,27,49
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,12,13,18,19,26,31,36,66,80,100
0,0,0,0,0,0,23,35,51,66,66,97,133,134,172,186,215,221,257,262,270,275,281,285,303,308,310,316,348,358
0,0,0,0,0,3,8,19,40,50,50,53,60,68,110,169,208,242,296,360,471,532,606,692,738,822,958,1015,1071,1216
0,0,0,0,0,1,1,1,3,8,8,9,13,13,33,38,43,49,71,107,146,176,196,217,236,273,286,306,344,372
0,0,0,0,0,0,0,0,0,1,1,1,19,23,27,29,38,59,74,93,105,130,190,236,256,285,315,342,394,426
0,0,0,0,0,2,3,11,17,43,44,48,65,80,172,192,245,304,373,430,494,610,851,1019,1195,1308,1369,1461,1552,1643
0,0,0,0,0,0,1,1,1,4,4,4,5,5,5,22,32,34,45,70,74,80,90,97,102,112,120,139,151,175
0,0,0,0,0,0,0,0,1,1,1,1,3,3,5,6,8,9,17,27,31,32,34,34,42,42,45,45,49,62
0,0,0,0,0,0,0,0,0,1,1,1,3,13,71,98,137,138,156,239,328,419,450,457,466,470,482,493,502,530
0,0,0,0,0,0,0,0,1,1,1,1,3,5,9,9,11,21,28,63,125,149,165,188,211,232,237,268,295,328
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,6,7,7,7,7,7,7,7,7,7
0,0,0,0,0,0,3,3,6,7,7,14,17,22,51,55,87,111,204,278,359,437,522,638,692,830,865,925,1016,1080
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,24,24,24,25,25,25,32,33,55,55,63,63
0,0,0,0,0,5,7,8,10,23,24,24,36,36,52,59,123,144,190,217,277,378,432,519,583,689,787,856,993,1152
0,0,0,0,0,3,3,6,6,13,13,13,23,27,31,33,35,73,92,109,143,184,199,228,260,271,277,319,356,396
0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,8,15,19,34,49,76,85,94,113,133,156,197,221,246,326
0,0,0,0,0,0,2,2,9,15,15,16,33,38,94,162,204,297,444,504,553,703,734,808,967,1086,1185,1228,1318,1378
0,0,0,0,0,0,0,0,2,2,2,2,2,4,6,6,9,26,26,47,66,114,133,163,181,197,202,202,264,269
0,0,0,0,0,0,0,0,2,2,2,2,5,9,10,16,18,24,28,41,61,79,85,107,124,163,197,225,244,278
0,0,0,1,1,3,8,29,70,106,108,113,146,162,215,251,295,363,434,552,648,774,910,1075,1193,1382,1660,1859,2057,2354
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,6,8,11,16,18,22,29,31,51,59
0,0,0,0,0,0,0,0,1,1,1,1,3,3,32,34,38,42,47,77,100,123,130,147,162,181,219,239,271,317
0,0,0,0,0,0,40,42,45,115,115,151,239,250,302,314,382,426,507,604,699,794,867,976,1060,1105,1209,1265,1298,1397
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,6,7,8,10,11,14,30,32,37,45,65,160
